[2025-10-08 16:07:19] [INFO] Loaded config:
[2025-10-08 16:07:19] [INFO]   PORT=8080
[2025-10-08 16:07:19] [INFO]   THREADS=4
[2025-10-08 16:07:19] [INFO]   WEB_ROOT=www
[2025-10-08 16:07:19] [INFO]   LOG_FILE=server.log
[2025-10-08 16:07:19] [OK] Server started on port 8080
[2025-10-08 16:07:26] [HTTP] [127.0.0.1] GET /index.html -> 200
[2025-10-08 16:07:26] [HTTP] [127.0.0.1] GET /style.css -> 200
[2025-10-08 16:07:26] [HTTP] [127.0.0.1] GET /img.png -> 404
[2025-10-08 16:07:26] [HTTP] [127.0.0.1] GET /app.js -> 200
[2025-10-08 16:08:03] [HTTP] [127.0.0.1] GET /index.html -> 200
[2025-10-08 16:08:03] [HTTP] [127.0.0.1] GET /style.css -> 200
[2025-10-08 16:08:03] [HTTP] [127.0.0.1] GET /app.js -> 200
[2025-10-08 16:08:03] [HTTP] [127.0.0.1] GET /img.png -> 200
[2025-10-08 16:08:52] [HTTP] [127.0.0.1] GET /img -> 404
[2025-10-08 16:08:59] [HTTP] [127.0.0.1] GET /img.png -> 200
